Date,MktExRet,Mkt_DP,y10minFedFunds
1988.5,0.048492543,0.034958905,0.0131
1988.75,-0.016243944,0.036479447,0.005
1989,0.003770562,0.038696948,-0.0003
1989.25,0.052227517,0.036689792,-0.0066
1989.5,0.061120719,0.035796988,-0.0122
1989.75,0.078074524,0.033577067,-0.0083
1990,-0.013000678,0.032724426,-0.0002
1990.25,-0.051014123,0.034177744,0.0053
1990.5,0.033973605,0.033159705,0.0032
1990.75,-0.165677847,0.038801598,0.0061
1991,0.064346689,0.036646424,0.0118
1991.25,0.146123321,0.031906643,0.0213
1991.5,-0.015650069,0.031874939,0.0245
1991.75,0.048549594,0.030203012,0.0232
1992,0.071903957,0.02769618,0.03
1992.25,-0.021004605,0.028194719,0.0375
1992.5,-0.008948646,0.028250965,0.0359
1992.75,0.022715646,0.02761103,0.0349
1993,0.063107081,0.025993955,0.0358
1993.25,0.036418508,0.025266543,0.0301
1993.5,0.001578226,0.025340185,0.0275
1993.75,0.031864297,0.024658977,0.0234
1994,0.012626152,0.024457238,0.027
1994.25,-0.046499538,0.025696038,0.0341
1994.5,-0.018411918,0.02630646,0.0304
1994.75,0.044360104,0.025177609,0.0298
1995,-0.022738744,0.026061156,0.0225
1995.25,0.076562329,0.024259516,0.0101
1995.5,0.077617895,0.022562706,0.0043
1995.75,0.074468561,0.021635451,0.0028
1996,0.032583877,0.021071343,0.0009
1996.25,0.043800291,0.020377635,0.0129
1996.5,0.031387732,0.019844333,0.0147
1996.75,0.015493261,0.019374809,0.0129
1997,0.054781653,0.018535309,0.0133
1997.25,-0.007050732,0.018728613,0.0138
1997.5,0.152693053,0.016234403,0.007
1997.75,0.084442573,0.015051034,0.0053
1998,0.000282803,0.015115608,-0.0002
1998.25,0.11985727,0.013488427,0.0019
1998.5,0.004124597,0.013575208,-0.0008
1998.75,-0.1358074,0.015748691,-0.0054
1999,0.201221271,0.013054499,0.0009
1999.25,0.025642614,0.0128192,0.0044
1999.5,0.067715649,0.012402794,0.008
1999.75,-0.073041493,0.013446804,0.0091
2000,0.180984615,0.011363321,0.0121
2000.25,0.030574489,0.010919976,-0.0003
2000.5,-0.062145398,0.011127667,-0.0049
2000.75,-0.01287496,0.010922875,-0.0077
2001,-0.120417186,0.012166024,-0.0082
2001.25,-0.141262545,0.013764409,0.0034
2001.5,0.065706127,0.012651068,0.0147
2001.75,-0.168446242,0.015310302,0.0208
2002,0.122765195,0.013603108,0.0331
2002.25,0.001661711,0.01357646,0.0346
2002.5,-0.129603139,0.015746185,0.0292
2002.75,-0.170193056,0.018806151,0.0219
2003,0.076212603,0.017754429,0.0281
2003.25,-0.031260416,0.018570435,0.027
2003.5,0.167157787,0.016453389,0.0297
2003.75,0.036811217,0.016365487,0.0328
2004,0.124504381,0.015336107,0.0315
2004.25,0.025571462,0.015549304,0.0335
2004.5,0.008614977,0.016225627,0.0324
2004.75,-0.018403995,0.016941836,0.0234
2005,0.09977355,0.017932609,0.0194
2005.25,-0.026689485,0.019155672,0.0155
2005.5,0.016672707,0.019279721,0.0092
2005.75,0.039717038,0.018943327,0.0068
2006,0.0130987,0.017349444,0.0013
2006.25,0.047296595,0.017008457,0.002
2006.5,-0.030387845,0.018180871,-0.0015
2006.75,0.030428282,0.017996594,-0.0052
2007,0.060327506,0.017579647,-0.0049
2007.25,0.005622503,0.017736581,-0.0056
2007.5,0.051634017,0.017426501,-0.0026
2007.75,0.00794851,0.01778636,-0.0023
2008,-0.038339876,0.018908182,-0.002
2008.25,-0.097685439,0.021305914,0.014
2008.5,-0.01211444,0.021696608,0.02
2008.75,-0.104131212,0.0243494,0.0284
2009,-0.239117241,0.031367218,0.0237
2009.25,-0.098371373,0.034610634,0.0278
2009.5,0.181811016,0.027343012,0.034
2009.75,0.167244273,0.02219873,0.0327
2010,0.057197924,0.020368953,0.0362
2010.25,0.061050913,0.018554838,0.0365
2010.5,-0.110390889,0.021240097,0.0283
2010.75,0.118491895,0.020046092,0.0235
2011,0.115311634,0.018955686,0.0322
2011.25,0.062449324,0.018425433,0.0336
2011.5,-0.00565845,0.019341556,0.0293
2011.75,-0.158234974,0.023351646,0.0208
2012,0.113903166,0.021499521,0.0189
2012.25,0.125910033,0.020011558,0.0191
2012.5,-0.036626101,0.021655496,0.0137
2012.75,0.064644573,0.021454944,0.0159
2013,0.003750353,0.024347972,0.0177
2013.25,0.104064992,0.022582571,0.0161
2013.5,0.021702065,0.023037252,0.0249
2013.75,0.064730575,0.022297644,0.0253
2014,0.096057925,0.019233571,0.0279
2014.25,0.019507211,0.019751716,0.0262
2014.5,0.050867879,0.019313805,0.0245
2014.75,-0.005727808,0.019952901,0.0221
2015,0.040282937,0.019934131,0.0177
2015.25,0.016266262,0.02033036,0.0182
2015.5,-0.000170565,0.020765007,0.0219
2015.75,-0.081091787,0.023031874,0.0195
2016,0.053782557,0.022265645,0.0175
