"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",0.0566049668038251,0.0632701694965363,0.0725722551345825,0.0841248631477356,0.0983263283967972,0.114151602983475,0.12911604642868,0.146041417121887,0.16249812245369,0.180817717313767,0.200088113546371,0.220622330904007,0.242118835449219,0.264406585693359,0.287286746501923,0.310613036155701,0.334163093566895,0.357682800292969,0.380874645709992,0.403421831130981,0.425063705444336,0.452156102657318,0.479588282108307,0.499425077438355,0.526510536670685,0.5537353515625,0.581040143966675,0.6085205078125,0.63615198135376,0.664006805419922
"2",0,0.0549263175340324,0.0612446844165755,0.0695039322613619,0.07953202686112,0.0910358373185448,0.102679140735145,0.115810963423997,0.129226134521053,0.144202024916546,0.16024859175564,0.177445486089796,0.195562967757937,0.214473118428894,0.234023109063227,0.254100422957917,0.27452806405484,0.295099774103655,0.315569803049766,0.335672163160279,0.35518327733435,0.378891841139181,0.403017393896228,0.421471417702442,0.445587726148478,0.469955540060596,0.494525888691564,0.519381507551538,0.544503302376012,0.569954956381539
"3",0,0,0.0516851979083466,0.0574241243199219,0.0643301077114555,0.0726010275781086,0.0816552723981622,0.0918381888748763,0.102766687953656,0.115001031419662,0.12834151266919,0.142718556207004,0.157959104203247,0.173969640007229,0.190634675084995,0.207869655911759,0.225535552562782,0.243466771689049,0.261462141727056,0.279300207439983,0.296791184196954,0.3174988160906,0.338671785450811,0.355685294881958,0.377102465887318,0.398851561509377,0.420893215598899,0.443300015238972,0.466058198337216,0.489224883920347
"4",0,0,0,0.0474437912593182,0.052033915411133,0.057899277478536,0.0649361054512205,0.0728277590174141,0.0817248940557262,0.0917132560048309,0.102787448512077,0.114787852509837,0.12758590691657,0.141115286922445,0.155290558655653,0.170050066607049,0.185286286285246,0.200867889840765,0.216631790798178,0.232395219018414,0.247998744980643,0.266053494094382,0.284599573114141,0.300167517135368,0.319143148325658,0.338505570331091,0.358224115234684,0.378363304533658,0.398914466247506,0.419929652978853
"5",0,0,0,0,0.042088043209211,0.0461746402821897,0.05164023910925,0.0577524725659034,0.0649914718613064,0.0731412685883922,0.0823214511960421,0.0923233210452945,0.103053025818495,0.114465513651558,0.126499324411118,0.139111334101294,0.152219938254841,0.165722447006499,0.179488060774074,0.193367338741493,0.207227777598541,0.222944017843616,0.239160510253121,0.253315331388984,0.270091973234795,0.287289889781423,0.304886161096885,0.322938834415461,0.341443948307916,0.360449599451795
"6",0,0,0,0,0,0.0368242489032789,0.0410667420956392,0.0457977580592298,0.05168426907741,0.0583301193715938,0.0659304363044491,0.0742552057771274,0.0832374545669214,0.0928485786427643,0.103046052606153,0.1138015624549,0.1250546387801,0.136726330244189,0.1487130021025,0.160893704482813,0.173159552931536,0.186819704290829,0.200976231407042,0.213776153159744,0.228579790569173,0.243823109586925,0.259489987622686,0.275633206296672,0.292253050967984,0.309394473153584
"7",0,0,0,0,0,0,0.0326582009580134,0.0363176596613815,0.0411017567930554,0.0465182364425705,0.0528030345449499,0.0597231070392106,0.0672321243141687,0.0753140249929266,0.0839410724692916,0.0930966243753099,0.1027372817235,0.112803604579347,0.1232146411241,0.1338736123209,0.14469214078789,0.15654872576933,0.168888440436207,0.180408518541669,0.193447883811142,0.206932825982384,0.22085309951154,0.235257133292442,0.25014895189494,0.265570942965593
"8",0,0,0,0,0,0,0,0.0287999338651931,0.0326860462889636,0.0370982666423397,0.0422894282737671,0.0480350094931081,0.0543043821235752,0.0610908906043572,0.0683782005141467,0.0761587212259263,0.0844026991633142,0.0930665891739211,0.102088234200778,0.111391207837849,0.120904768182556,0.131182648174248,0.14192377433531,0.152249131071596,0.163715627080709,0.175624019157174,0.187969069676699,0.200795540960356,0.214110675412562,0.2279547046486
"9",0,0,0,0,0,0,0,0,0.0259934782686658,0.0295858461780948,0.0338691849651117,0.0386343285102048,0.0438624533718891,0.0495538103983163,0.0557007215658739,0.0623024825839615,0.0693401217799931,0.0767829188860262,0.0845841652189363,0.0926844429493137,0.101028037111613,0.109926715132548,0.119264276877424,0.128485052144045,0.138553113233312,0.149052215174141,0.159981323482749,0.171382047826974,0.183264335022588,0.195666539385533
"10",0,0,0,0,0,0,0,0,0,0.0235946952053791,0.0271254953548883,0.0310734057343858,0.0354283529351845,0.0401955201618413,0.0453736769852129,0.0509672336095296,0.0569656247504712,0.0633483690010436,0.0700813473932123,0.0771192460479424,0.0844190385214111,0.0921149471215247,0.100222586425084,0.108430232135083,0.117257988922335,0.126500708473342,0.13616082639188,0.146277184129134,0.156861942668464,0.167951763461644
