This file was created by CMPT_VAR_RETS using the 201712 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
198504,    1.79,    0.22,    0.23,   -0.75,   -2.84,    1.55,    2.10,   -0.24,    0.64,    0.22,    0.24,   -0.67,   -0.82,   -1.22,   -3.53
198505,    3.95,    4.40,    3.65,    3.10,    0.91,    3.70,    4.32,    4.46,    4.35,    3.79,    3.52,    3.70,    2.69,    2.47,    0.28
198506,    6.43,    2.02,    1.49,    1.45,   -1.17,    8.83,    2.86,    2.43,    1.64,    1.27,    1.68,    2.35,    0.76,    0.76,   -1.97
198507,    1.24,    1.88,    2.26,    2.48,    1.80,    1.03,    1.54,    1.64,    2.10,    1.36,    3.03,    2.65,    2.36,    2.31,    1.57
198508,    1.21,   -0.43,   -0.06,   -0.31,   -0.86,    1.73,    0.46,   -0.62,   -0.24,   -0.10,   -0.03,    0.53,   -0.90,   -1.77,   -0.50
198509,   -2.33,   -3.30,   -4.49,   -5.09,   -7.64,   -1.58,   -3.54,   -3.56,   -3.00,   -4.17,   -4.79,   -4.89,   -5.24,   -6.44,   -8.15
198510,    3.66,    3.73,    3.88,    2.94,    0.27,    2.94,    4.68,    3.95,    3.54,    3.69,    4.04,    3.37,    2.63,    2.25,   -0.70
198511,    5.64,    6.49,    6.43,    6.02,    4.69,    5.47,    5.90,    5.83,    7.11,    6.65,    6.23,    6.22,    5.86,    5.88,    4.15
198512,    3.53,    4.73,    4.18,    4.68,    1.77,    3.15,    4.07,    4.65,    4.79,    3.92,    4.42,    4.68,    4.68,    3.04,    1.26
198601,    2.71,    2.26,    2.55,    3.65,    5.81,    3.24,    1.92,    2.60,    1.97,    2.44,    2.63,    3.17,    3.97,    3.08,    6.85
198602,    7.11,    7.55,    7.22,    7.19,    5.42,    6.81,    7.53,    7.66,    7.46,    7.63,    6.88,    6.54,    7.69,    6.85,    4.89
198603,    5.34,    5.51,    5.30,    4.12,    4.71,    4.96,    5.84,    6.20,    4.93,    5.02,    5.54,    4.32,    3.98,    4.62,    4.75
198604,    0.88,    0.76,    1.27,    1.86,    1.78,    1.11,    0.54,    1.29,    0.31,    0.98,    1.54,    1.62,    2.04,    1.75,    1.80
198605,    3.81,    4.19,    3.97,    3.54,    3.78,    3.66,    4.01,    4.43,    3.99,    3.96,    3.99,    3.85,    3.33,    3.41,    3.94
198606,    2.66,    1.40,    1.66,    0.43,    0.27,    3.78,    1.16,    1.33,    1.48,    1.82,    1.53,    0.65,    0.27,    1.03,   -0.07
198607,   -1.57,   -5.39,   -6.80,   -8.07,   -9.50,   -0.22,   -3.54,   -4.96,   -5.80,   -6.78,   -6.82,   -7.60,   -8.46,   -9.22,   -9.61
198608,    3.19,    3.69,    3.42,    2.55,    0.60,    2.26,    4.65,    3.37,    4.04,    3.58,    3.27,    2.20,    2.81,    2.21,   -0.09
198609,   -5.25,   -5.82,   -5.80,   -6.21,   -7.08,   -4.95,   -5.78,   -6.70,   -5.07,   -6.00,   -5.61,   -5.94,   -6.41,   -6.90,   -7.15
198610,    2.17,    3.25,    3.60,    3.43,    1.58,    1.15,    3.75,    3.89,    2.68,    3.36,    3.79,    4.46,    2.69,    3.42,    0.72
198611,    0.17,    0.49,   -0.19,    0.07,   -1.76,   -0.33,    1.01,    0.74,    0.26,   -0.40,   -0.02,   -0.06,    0.19,   -0.73,   -2.27
198612,   -2.03,   -2.67,   -1.88,   -3.30,   -5.02,   -1.40,   -2.96,   -2.30,   -3.00,   -1.56,   -2.14,   -3.48,   -3.17,   -4.21,   -5.37
198701,    8.88,   10.86,   11.04,   12.14,   12.75,    7.90,   10.23,   10.67,   11.06,   11.41,   10.74,   11.96,   12.25,   12.08,   13.11
198702,    3.06,    6.48,    6.85,    8.53,    8.61,    2.41,    4.09,    5.65,    7.40,    6.90,    6.82,    8.32,    8.66,    7.62,    9.01
198703,    2.06,    2.27,    2.29,    2.43,    3.95,    1.58,    2.81,    2.37,    2.17,    3.15,    1.67,    2.60,    2.30,    3.15,    4.26
198704,   -2.13,   -2.22,   -2.61,   -3.28,   -1.64,   -1.80,   -2.60,   -1.84,   -2.63,   -2.75,   -2.50,   -3.16,   -3.36,   -1.85,   -1.56
198705,    0.66,    0.11,   -0.20,   -0.42,    0.16,    0.80,    0.45,    0.26,   -0.02,    0.02,   -0.38,   -0.48,   -0.38,   -0.53,    0.42
198706,    3.01,    4.77,    3.49,    2.43,    1.19,    2.45,    3.85,    5.66,    3.90,    3.45,    3.53,    3.00,    1.95,    1.85,    0.94
198707,    2.29,    3.89,    3.92,    3.33,    3.30,    2.12,    2.60,    3.73,    4.07,    3.57,    4.22,    3.87,    2.87,    2.58,    3.64
198708,    2.28,    4.17,    3.38,    3.03,    0.11,    1.69,    3.16,    4.21,    4.13,    3.61,    3.19,    3.58,    2.60,    1.81,   -0.60
198709,   -1.18,   -1.42,   -1.42,   -1.51,   -1.92,   -1.04,   -1.40,   -1.57,   -1.27,   -1.09,   -1.66,   -1.28,   -1.66,   -1.78,   -1.97
198710,  -17.85,  -24.22,  -26.65,  -28.31,  -30.37,  -15.55,  -21.47,  -23.33,  -25.04,  -25.37,  -27.84,  -27.72,  -28.74,  -30.32,  -30.39
198711,   -2.56,   -4.07,   -4.49,   -4.84,   -6.82,   -2.28,   -3.00,   -4.12,   -4.03,   -4.79,   -4.20,   -4.45,   -5.19,   -5.01,   -7.72
198712,    2.35,    4.89,    5.13,    5.91,    1.05,    0.76,    4.57,    3.75,    5.72,    5.16,    5.10,    6.44,    5.48,    3.21,    0.01
198801,    4.87,    5.51,    6.06,    6.17,   10.34,    4.77,    5.01,    5.15,    5.84,    5.32,    6.59,    6.06,    6.24,    7.61,   11.55
198802,    2.99,    6.28,    7.80,    8.25,    6.46,    1.93,    4.76,    6.49,    6.09,    7.59,    7.95,    8.51,    8.07,    7.24,    6.13
198803,    1.07,    2.22,    3.41,    3.66,    4.68,    1.08,    1.06,    1.07,    3.30,    2.62,    4.03,    3.84,    3.54,    5.20,    4.48
198804,    0.50,    1.25,    2.09,    2.10,    1.37,    0.44,    0.60,    0.93,    1.56,    1.86,    2.28,    2.21,    2.02,    1.31,    1.40
198805,    0.68,    0.24,   -1.47,   -1.16,   -2.82,    0.74,    0.58,    0.10,    0.37,   -2.06,   -0.95,   -1.33,   -1.00,   -1.64,   -3.39
198806,    3.71,    5.49,    6.21,    6.62,    4.60,    3.17,    4.47,    4.69,    6.31,    6.16,    6.24,    6.17,    7.00,    5.89,    3.92
198807,    0.06,   -0.27,   -0.43,   -0.50,    0.42,    0.37,   -0.45,   -0.45,   -0.10,   -0.92,   -0.04,   -0.55,   -0.47,    0.29,    0.49
198808,   -0.76,   -1.42,   -2.00,   -2.16,   -2.69,   -0.60,   -1.02,   -0.82,   -1.95,   -2.11,   -1.90,   -2.30,   -2.07,   -2.29,   -2.92
198809,    1.97,    2.67,    2.74,    2.09,    1.66,    1.37,    2.97,    2.83,    2.51,    2.73,    2.76,    2.16,    2.06,    2.46,    1.23
198810,    0.91,    0.33,   -0.34,    0.27,   -2.84,    0.31,    1.91,    0.31,    0.34,    0.16,   -0.71,    0.36,    0.23,   -0.69,   -4.02
198811,   -1.84,   -2.36,   -3.11,   -3.36,   -5.21,   -1.75,   -1.99,   -2.24,   -2.48,   -2.89,   -3.33,   -3.05,   -3.54,   -4.44,   -5.63
198812,    0.47,    2.15,    3.43,    3.04,    1.95,    0.38,    0.63,    1.52,    2.86,    3.18,    3.65,    2.46,    3.42,    3.12,    1.26
198901,    3.00,    5.40,    4.74,    5.50,    7.66,    2.76,    3.37,    5.28,    5.52,    4.89,    4.62,    5.74,    5.37,    5.69,    8.61
198902,   -0.04,    0.29,    0.68,    0.74,    0.27,    0.06,   -0.18,    0.57,    0.00,    0.52,    0.81,    0.96,    0.58,    0.74,    0.05
198903,    1.73,    2.22,    2.07,    2.04,    1.34,    1.14,    2.56,    2.78,    1.78,    2.17,    2.00,    2.10,    2.00,    1.74,    1.16
198904,    4.04,    4.67,    4.01,    3.92,    2.47,    3.33,    5.16,    5.08,    4.28,    5.05,    3.01,    3.37,    4.30,    3.70,    1.82
198905,    3.29,    3.63,    3.35,    3.59,    2.15,    3.31,    3.27,    3.36,    3.89,    3.00,    3.64,    3.80,    3.42,    3.03,    1.64
198906,    0.87,    0.40,   -0.54,   -0.89,   -1.99,    0.74,    1.06,    0.46,    0.35,   -0.30,   -0.72,   -0.71,   -1.03,   -1.73,   -2.13
198907,    3.74,    6.39,    4.81,    3.65,    1.78,    2.80,    5.15,    6.23,    6.53,    5.04,    4.62,    3.52,    3.74,    3.06,    1.05
198908,    1.67,    2.96,    3.54,    2.91,    1.22,    1.37,    2.14,    2.87,    3.05,    3.09,    3.88,    3.38,    2.57,    2.11,    0.70
198909,    0.18,   -0.32,   -0.22,    0.34,    0.48,    0.39,   -0.15,   -0.47,   -0.20,   -0.16,   -0.28,    0.74,    0.09,    0.68,    0.38
198910,   -2.23,   -3.77,   -5.00,   -5.46,   -5.92,   -1.90,   -2.72,   -3.71,   -3.83,   -4.83,   -5.19,   -5.49,   -5.44,   -5.07,   -6.36
198911,    0.75,    0.47,    0.19,   -0.31,   -2.19,    0.81,    0.67,    0.91,    0.06,   -0.19,    0.53,   -0.01,   -0.56,   -0.16,   -3.18
198912,    0.66,    0.32,   -0.49,   -0.39,   -2.96,    0.85,    0.38,    0.76,   -0.11,   -0.28,   -0.62,   -0.21,   -0.50,   -0.99,   -3.89
199001,   -3.74,   -6.08,   -6.46,   -6.28,   -4.49,   -2.41,   -5.50,   -6.10,   -6.07,   -7.06,   -5.96,   -6.48,   -6.14,   -7.15,   -2.84
199002,    0.72,    1.09,    2.16,    2.29,    2.37,    0.66,    0.81,    0.62,    1.56,    1.77,    2.52,    2.21,    2.35,    2.25,    2.45
199003,    1.69,    2.03,    2.42,    3.27,    2.58,    1.24,    2.38,    2.23,    1.85,    2.53,    2.34,    2.71,    3.54,    3.06,    2.23
199004,   -2.22,   -3.01,   -2.86,   -3.01,   -2.33,   -1.84,   -2.82,   -3.11,   -2.91,   -3.55,   -2.34,   -2.88,   -3.10,   -2.55,   -2.19
199005,    4.76,    5.26,    6.02,    5.59,    3.74,    3.93,    6.08,    5.41,    5.13,    5.77,    6.25,    4.79,    6.22,    5.11,    2.82
199006,   -0.57,    0.02,    0.44,    0.58,    0.64,   -0.31,   -0.95,    0.21,   -0.15,    0.00,    0.75,    0.17,    0.88,    1.18,    0.29
199007,   -0.66,   -1.83,   -2.51,   -3.29,   -3.88,   -0.83,   -0.36,   -2.35,   -1.35,   -2.27,   -2.70,   -3.61,   -3.06,   -3.02,   -4.38
199008,   -6.20,  -10.11,  -10.40,  -11.30,  -13.03,   -4.75,   -8.38,   -9.41,  -10.71,  -10.45,  -10.37,  -10.57,  -11.81,  -13.35,  -12.85
199009,   -3.65,   -6.05,   -7.33,   -8.36,   -9.41,   -3.10,   -4.56,   -6.10,   -6.00,   -7.75,   -6.98,   -8.57,   -8.19,   -9.08,   -9.60
199010,   -2.50,   -4.36,   -4.98,   -6.13,   -7.38,   -2.04,   -3.26,   -3.70,   -4.98,   -4.92,   -5.02,   -6.02,   -6.21,   -5.81,   -8.16
199011,    2.13,    5.54,    6.26,    5.81,    2.42,    1.36,    3.23,    4.81,    6.23,    6.16,    6.35,    6.27,    5.48,    3.79,    1.56
199012,    1.31,    2.34,    3.29,    3.07,   -3.40,    0.76,    2.04,    2.33,    2.36,    2.54,    4.02,    3.38,    2.79,    0.54,   -6.07
199101,    1.24,    4.31,    5.26,    7.84,   12.91,    0.15,    2.68,    4.14,    4.47,    4.05,    6.31,    8.47,    7.38,    9.17,   15.61
199102,    5.63,    8.80,    9.51,   11.83,   18.35,    4.59,    6.98,    7.80,    9.65,    8.53,   10.33,   11.62,   11.97,   14.46,   21.42
199103,    3.27,    4.45,    4.93,    6.89,   11.68,    3.29,    3.25,    4.61,    4.30,    5.61,    4.39,    6.17,    7.37,    9.80,   13.27
199104,    4.58,    1.84,    2.95,    2.59,    3.74,    7.29,    0.71,    1.35,    2.29,    2.40,    3.46,    1.83,    3.08,    3.08,    4.27
199105,    1.62,    4.28,    4.70,    3.44,    2.68,    0.68,    3.00,    3.54,    4.93,    4.04,    5.24,    3.62,    3.31,    4.87,    1.21
199106,   -1.87,   -3.16,   -3.01,   -3.81,   -3.92,   -1.17,   -2.90,   -2.55,   -3.73,   -3.01,   -3.01,   -3.86,   -3.78,   -3.96,   -3.90
199107,    4.12,    2.46,    2.74,    3.92,    3.47,    4.41,    3.65,    2.89,    2.04,    2.29,    3.15,    3.98,    3.86,    3.26,    3.59
199108,    1.40,    2.17,    2.94,    3.08,    3.65,    1.20,    1.68,    2.16,    2.18,    3.31,    2.68,    3.48,    2.78,    3.42,    3.79
199109,    1.73,   -0.26,   -0.79,    0.97,    1.19,    1.91,    1.46,   -0.42,   -0.13,   -0.67,   -0.89,   -0.40,    1.95,    0.78,    1.50
199110,    2.81,    0.97,    2.25,    2.34,    2.98,    1.73,    4.41,    0.96,    0.98,    2.48,    2.04,    0.80,    3.48,    2.17,    3.53
199111,   -0.86,   -2.81,   -2.72,   -3.85,   -2.17,   -0.27,   -1.68,   -2.77,   -2.85,   -3.69,   -1.96,   -3.48,   -4.12,   -1.94,   -2.30
199112,    4.93,    7.73,    8.27,    6.67,    1.31,    3.86,    6.48,    7.13,    8.28,    8.80,    7.86,    6.64,    6.69,    4.83,   -0.57
199201,    8.64,    3.79,    6.09,    9.63,   24.12,   11.18,    5.23,    3.00,    4.47,    5.05,    6.98,    7.59,   11.37,   14.50,   29.59
199202,    1.58,    3.62,    3.77,    4.47,    7.61,    0.97,    2.31,    3.73,    3.51,    3.25,    4.17,    5.90,    3.40,    4.87,    9.18
199203,    0.59,    2.11,   -0.87,   -1.98,   -1.93,    1.26,   -0.28,    3.61,    0.54,   -0.48,   -1.22,   -1.61,   -2.21,   -3.44,   -1.20
199204,    1.13,    1.92,   -0.85,   -2.92,   -6.25,    1.47,    0.67,    1.79,    2.05,   -0.24,   -1.37,   -1.80,   -3.69,   -5.82,   -6.44
199205,    1.20,    0.66,    0.77,    0.20,    0.08,    1.35,    0.98,    0.87,    0.42,    0.82,    0.72,    0.51,   -0.03,   -0.03,    0.14
199206,   -0.15,   -1.76,   -3.38,   -3.68,   -5.47,   -0.12,   -0.20,   -1.83,   -1.70,   -3.18,   -3.57,   -3.86,   -3.54,   -5.29,   -5.55
199207,    4.00,    3.47,    2.94,    4.31,    1.86,    4.36,    3.68,    3.80,    3.15,    2.79,    3.09,    4.79,    3.99,    3.43,    1.21
199208,   -0.50,   -1.54,   -2.08,   -1.79,   -3.52,   -0.40,   -0.59,   -1.30,   -1.74,   -2.48,   -1.74,   -1.19,   -2.23,   -2.60,   -3.86
199209,    1.28,    1.41,    2.29,    2.23,    0.97,    0.77,    1.75,    1.45,    1.38,    2.93,    1.76,    2.12,    2.31,    1.97,    0.58
199210,    0.49,    1.76,    1.99,    3.66,    2.13,   -0.29,    1.19,    1.25,    2.22,    2.45,    1.56,    3.08,    4.13,    3.99,    1.50
199211,    2.85,    5.01,    6.37,    7.90,    8.44,    1.55,    4.11,    4.49,    5.51,    6.69,    6.10,    7.27,    8.37,    9.51,    8.06
199212,    2.66,    3.50,    4.19,    3.70,    4.03,    2.79,    2.54,    3.34,    3.63,    3.57,    4.67,    3.39,    3.88,    4.56,    3.83
199301,    2.08,    2.23,    3.81,    4.60,    9.24,    1.75,    2.40,    1.78,    2.67,    3.37,    4.22,    5.18,    4.19,    4.91,   11.06
199302,    2.70,    1.00,   -0.29,   -1.66,   -2.32,    3.60,    1.87,    0.64,    1.31,   -0.01,   -0.52,   -1.22,   -1.96,   -3.10,   -2.00
199303,    2.71,    3.45,    3.64,    3.91,    2.47,    2.30,    3.11,    3.57,    3.35,    3.90,    3.43,    3.77,    4.04,    2.87,    2.31
199304,   -1.52,   -2.56,   -2.77,   -2.72,   -1.49,   -1.21,   -1.82,   -2.26,   -2.85,   -2.66,   -2.86,   -2.06,   -3.19,   -2.61,   -1.13
199305,    0.59,    1.96,    2.42,    3.86,    4.96,   -0.02,    1.13,    1.70,    2.21,    2.43,    2.40,    3.22,    4.35,    4.66,    5.07
199306,    1.62,    0.71,    0.84,    0.39,    1.73,    1.85,    1.44,    0.73,    0.70,    1.38,    0.47,    0.26,    0.49,    1.03,    1.97
199307,    1.67,    1.28,    1.88,    1.29,    1.16,    2.06,    1.35,    1.47,    1.12,    1.68,    2.07,    1.79,    0.95,    1.41,    1.07
199308,    3.03,    3.39,    4.98,    4.58,    3.82,    2.39,    3.62,    3.76,    3.08,    4.85,    5.10,    4.46,    4.65,    4.73,    3.52
199309,    0.34,    1.11,    1.60,    2.90,    3.50,    0.46,    0.22,    0.86,    1.33,    1.14,    1.99,    2.59,    3.11,    3.64,    3.45
199310,   -0.31,    0.93,    2.55,    3.02,    5.47,   -1.10,    0.43,    0.53,    1.33,    2.84,    2.27,    2.65,    3.26,    4.58,    5.80
199311,   -2.85,   -1.63,   -1.64,   -1.97,   -2.82,   -3.10,   -2.62,   -1.83,   -1.42,   -2.16,   -1.23,   -1.54,   -2.26,   -2.29,   -3.00
199312,    2.19,    3.07,    3.90,    3.25,   -0.17,    2.44,    1.95,    2.33,    3.82,    3.25,    4.44,    3.14,    3.33,    2.50,   -1.01
199401,    1.89,    3.01,    3.16,    3.90,    6.02,    1.17,    2.58,    2.28,    3.63,    3.00,    3.30,    4.00,    3.83,    4.82,    6.35
199402,   -1.80,   -0.83,   -0.58,   -0.55,   -0.59,   -1.77,   -1.84,   -1.26,   -0.40,   -0.35,   -0.76,   -0.51,   -0.58,   -0.65,   -0.57
199403,   -2.78,   -3.40,   -4.07,   -4.90,   -4.49,   -2.27,   -3.27,   -3.77,   -3.07,   -3.58,   -4.54,   -4.66,   -5.07,   -4.65,   -4.45
199404,    1.65,    0.52,    0.84,    0.62,   -2.92,    1.69,    1.62,    0.80,    0.26,    0.60,    1.07,    0.85,    0.43,   -0.49,   -3.56
199405,   -0.07,    1.09,    1.01,   -0.06,   -0.73,   -0.75,    0.59,    0.89,    1.27,    0.57,    1.36,   -0.49,    0.32,   -0.79,   -0.72
199406,   -1.05,   -1.03,   -0.33,   -0.92,   -4.01,   -0.98,   -1.13,   -1.08,   -0.97,   -0.10,   -0.51,   -0.17,   -1.45,   -2.61,   -4.39
199407,    2.15,    2.73,    2.16,    2.11,    0.81,    2.09,    2.22,    3.12,    2.39,    2.32,    2.02,    2.38,    1.90,    1.76,    0.51
199408,    3.20,    3.28,    4.03,    4.85,    3.78,    3.03,    3.39,    2.51,    4.02,    3.35,    4.59,    4.22,    5.29,    4.83,    3.51
199409,   -2.31,   -1.18,   -0.80,   -0.09,    1.68,   -1.93,   -2.67,   -1.46,   -0.90,   -1.24,   -0.40,   -0.63,    0.35,    1.58,    1.71
199410,    0.40,   -0.04,   -0.18,   -0.11,    0.12,    0.62,    0.17,   -0.07,    0.00,   -0.08,   -0.27,   -0.23,   -0.02,    0.25,    0.09
199411,   -3.03,   -3.95,   -5.02,   -3.96,   -4.56,   -2.54,   -3.56,   -4.08,   -3.84,   -5.25,   -4.81,   -4.42,   -3.58,   -3.66,   -4.81
199412,    1.39,    1.69,    2.09,    1.41,   -2.91,    1.15,    1.65,    1.82,    1.58,    1.26,    2.79,    1.56,    1.30,   -0.16,   -3.66
199501,    2.94,    2.14,    0.68,    1.14,    4.26,    3.37,    2.49,    1.62,    2.61,    1.27,    0.19,    1.26,    1.05,    1.15,    5.12
199502,    3.51,    4.68,    4.21,    4.08,    2.54,    3.00,    4.01,    4.72,    4.64,    3.60,    4.69,    4.50,    3.78,    3.40,    2.28
199503,    0.89,    2.37,    2.33,    2.23,    1.65,    0.40,    1.36,    2.64,    2.12,    2.27,    2.38,    2.51,    2.00,    2.41,    1.42
199504,    1.88,    2.46,    2.54,    2.55,    2.42,    1.68,    2.08,    2.71,    2.25,    2.99,    2.18,    2.78,    2.38,    2.22,    2.47
199505,    3.39,    2.50,    2.52,    2.07,    1.55,    3.80,    3.02,    2.26,    2.71,    3.13,    2.04,    1.89,    2.20,    2.31,    1.35
199506,    1.87,    2.61,    3.15,    4.48,    6.92,    1.48,    2.28,    2.59,    2.64,    3.39,    2.93,    4.04,    4.78,    5.93,    7.18
199507,    2.14,    3.69,    5.10,    4.62,    7.08,    1.49,    2.80,    3.65,    3.72,    4.70,    5.47,    4.58,    4.65,    6.50,    7.25
199508,    2.87,    2.25,    3.39,    3.02,    4.03,    2.73,    3.00,    2.30,    2.20,    3.35,    3.42,    3.29,    2.83,    3.42,    4.21
199509,    3.62,    2.40,    1.94,    1.87,    3.14,    3.69,    3.55,    3.03,    1.89,    2.43,    1.57,    2.29,    1.53,    2.26,    3.40
199510,   -0.25,   -1.74,   -2.58,   -2.95,   -5.84,   -0.04,   -0.47,   -1.70,   -1.78,   -1.67,   -3.34,   -3.42,   -2.59,   -3.56,   -6.43
199511,    3.70,    4.24,    3.79,    3.21,    0.34,    2.85,    4.51,    4.97,    3.64,    3.70,    3.87,    3.36,    3.10,    3.41,   -0.53
199512,    3.08,    2.21,    2.11,    3.03,   -0.45,    3.38,    2.80,    2.40,    2.04,    2.03,    2.19,    3.29,    2.84,    0.93,   -0.82
199601,    1.23,    2.64,    1.16,    0.32,    3.99,    1.46,    1.01,    2.53,    2.75,    1.65,    0.73,    0.81,   -0.06,    1.53,    4.74
199602,    1.34,    2.14,    2.50,    2.90,    4.63,    0.89,    1.72,    2.00,    2.26,    2.59,    2.43,    2.12,    3.47,    3.93,    4.80
199603,    1.38,    1.76,    2.13,    2.65,    3.08,    0.83,    1.88,    1.63,    1.88,    1.62,    2.62,    2.95,    2.41,    3.59,    2.95
199604,   -0.01,    2.02,    3.30,    5.03,    8.41,   -0.91,    0.81,    1.62,    2.34,    2.87,    3.72,    4.23,    5.79,    7.19,    8.75
199605,    1.59,    1.85,    2.60,    4.03,    9.52,    1.41,    1.75,    1.80,    1.89,    2.77,    2.44,    3.65,    4.35,    5.49,   10.71
199606,    1.34,    0.08,   -0.69,   -1.55,   -5.24,    1.65,    1.06,    0.82,   -0.62,   -1.15,   -0.31,   -1.60,   -1.52,   -3.49,   -5.67
199607,   -2.93,   -3.66,   -4.72,   -5.42,  -11.41,   -2.48,   -3.37,   -3.25,   -4.04,   -4.72,   -4.72,   -5.50,   -5.35,   -7.89,  -12.28
199608,    3.73,    4.07,    4.42,    4.63,    4.57,    3.37,    4.09,    3.66,    4.43,    3.88,    4.89,    4.63,    4.63,    5.09,    4.43
199609,    3.30,    3.91,    3.64,    2.80,    2.80,    2.77,    3.87,    3.75,    4.09,    3.56,    3.71,    2.58,    2.96,    2.83,    2.79
199610,    2.74,    1.70,    1.55,    0.76,   -4.85,    2.83,    2.66,    1.85,    1.56,    1.87,    1.27,    0.84,    0.69,   -0.50,   -6.02
199611,    5.06,    5.60,    4.32,    3.81,    1.05,    4.32,    5.74,    5.85,    5.37,    4.86,    3.88,    4.79,    3.13,    3.66,    0.35
199612,    0.47,    1.28,    2.34,    1.67,   -1.92,    0.41,    0.53,    0.63,    1.86,    2.10,    2.54,    1.77,    1.60,    1.46,   -2.90
199701,    2.59,    3.36,    3.16,    3.97,    8.58,    2.26,    2.92,    3.45,    3.29,    3.39,    2.96,    2.39,    5.15,    4.26,    9.86
199702,    2.69,    2.53,    1.98,    0.25,   -3.47,    2.89,    2.49,    2.31,    2.72,    1.88,    2.07,    1.28,   -0.41,   -2.60,   -3.70
199703,   -1.69,   -2.51,   -2.30,   -2.96,   -7.02,   -1.78,   -1.62,   -2.47,   -2.54,   -2.60,   -2.02,   -3.03,   -2.90,   -4.40,   -7.74
199704,    1.51,    1.84,    0.77,   -0.47,   -4.44,    0.76,    2.24,    2.29,    1.49,    0.79,    0.75,   -0.22,   -0.68,   -2.18,   -5.09
199705,    5.23,    7.14,    6.97,    8.86,   10.22,    4.53,    5.97,    7.26,    7.04,    6.75,    7.18,    8.57,    9.07,   11.36,    9.90
199706,    5.22,    5.80,    5.92,    6.31,    3.59,    4.83,    5.58,    5.94,    5.69,    5.93,    5.90,    6.36,    6.28,    5.31,    3.02
199707,    6.16,    5.91,    5.52,    5.70,    4.69,    5.75,    6.54,    6.13,    5.71,    6.35,    4.78,    4.82,    6.35,    5.70,    4.41
199708,    0.01,    0.76,    1.77,    2.78,    4.45,   -0.03,    0.05,   -0.05,    1.49,    0.88,    2.61,    1.90,    3.39,    3.78,    4.61
199709,    6.65,    6.88,    7.30,    8.47,    9.37,    7.43,    5.87,    6.74,    7.00,    6.97,    7.63,    8.58,    8.39,    9.29,    9.39
199710,   -0.20,   -1.50,   -1.39,   -1.97,   -2.51,    0.42,   -0.76,   -1.00,   -1.93,   -1.57,   -1.24,   -1.89,   -2.03,   -2.50,   -2.52
199711,    3.75,    1.96,    1.70,    0.37,   -4.43,    3.97,    3.56,    1.81,    2.11,    1.53,    1.84,    0.73,    0.10,   -1.08,   -5.25
199712,    5.77,    4.12,    3.71,    1.61,   -6.96,    5.78,    5.76,    3.81,    4.40,    3.25,    4.13,    1.53,    1.68,   -0.19,   -8.81
199801,   -1.67,   -1.44,   -0.82,   -0.39,    2.92,   -1.77,   -1.55,   -2.03,   -0.91,   -0.78,   -0.86,   -0.50,   -0.31,    0.53,    3.70
199802,    5.55,    6.29,    7.29,    6.58,    6.28,    5.25,    5.87,    6.57,    6.06,    7.31,    7.26,    6.55,    6.59,    7.29,    5.89
199803,    4.80,    4.47,    4.78,    5.75,    4.90,    5.62,    4.03,    4.49,    4.45,    5.31,    4.25,    5.42,    6.00,    5.99,    4.52
199804,    0.30,    1.21,    1.76,    1.75,    3.62,    0.07,    0.51,    0.84,    1.53,    1.84,    1.68,    1.30,    2.06,    2.24,    4.11
199805,   -1.97,   -2.33,   -2.31,   -3.49,   -5.84,   -1.69,   -2.22,   -1.99,   -2.64,   -1.77,   -2.82,   -2.58,   -4.22,   -4.91,   -6.21
199806,   -0.09,   -1.22,   -1.18,   -0.49,   -4.54,    0.16,   -0.32,   -1.45,   -1.03,   -1.63,   -0.73,   -0.49,   -0.49,   -1.98,   -5.42
199807,   -3.74,   -4.38,   -4.16,   -6.24,   -6.41,   -3.09,   -4.43,   -4.37,   -4.40,   -3.70,   -4.52,   -5.92,   -6.45,   -6.04,   -6.52
199808,  -10.20,  -15.38,  -16.21,  -18.26,  -23.56,   -7.93,  -12.42,  -14.62,  -16.05,  -15.48,  -16.88,  -17.10,  -19.17,  -21.16,  -24.45
199809,    2.84,    3.16,    3.06,    4.22,    4.09,    2.00,    3.69,    2.55,    3.82,    2.86,    3.23,    3.95,    4.45,    5.72,    3.49
199810,    1.97,    3.78,    4.09,    3.80,    3.77,    0.82,    3.07,    3.73,    3.83,    4.37,    3.84,    2.77,    4.75,    4.43,    3.47
199811,    3.35,    4.47,    4.70,    6.23,   11.02,    2.33,    4.39,    4.03,    4.87,    4.68,    4.71,    5.34,    6.85,    9.90,   11.44
199812,    2.81,    2.67,    2.10,    3.74,    2.10,    3.08,    2.57,    2.76,    2.58,    1.23,    2.80,    3.80,    3.70,    3.68,    1.51
199901,   -3.39,   -1.33,    0.05,    1.98,   13.77,   -3.67,   -3.14,   -1.86,   -0.82,    0.05,    0.05,    0.85,    2.89,    4.82,   16.81
