This file was created by CMPT_VAR_RETS using the 201712 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196606,   -2.03,   -0.16,   -0.71,   -0.39,    2.37,   -2.24,   -1.47,    0.08,   -0.44,   -1.49,    0.46,   -1.19,    0.59,    2.39,    2.35
196607,   -0.51,   -2.04,   -2.09,   -1.71,   -2.35,   -0.31,   -0.91,   -3.00,   -0.63,   -1.54,   -3.09,   -2.95,   -0.32,   -1.01,   -3.68
196608,   -6.28,   -8.75,   -8.12,   -8.86,  -10.21,   -5.86,   -7.04,   -7.92,   -9.68,   -8.30,   -7.77,   -8.80,   -8.93,   -9.14,  -11.72
196609,   -0.20,    0.67,   -0.47,   -2.72,   -4.60,    0.35,   -1.69,   -0.30,    2.17,    0.64,   -1.86,   -1.29,   -4.86,   -4.89,   -4.20
196610,    5.78,    5.26,    5.52,    2.33,   -6.54,    6.34,    4.20,    6.87,    3.43,    6.16,    4.72,    4.44,   -0.82,   -5.04,   -9.04
196611,   -0.89,    1.33,    2.59,    5.97,   13.91,   -1.48,    0.06,    1.99,    0.58,    2.50,    2.70,    4.09,    8.30,   14.29,   13.13
196612,   -0.12,    0.64,    1.62,    1.03,    1.51,   -0.38,    0.33,    1.07,    0.21,    2.67,    0.30,    0.08,    2.39,    2.22,    0.30
196701,    6.92,    7.40,   10.07,   11.62,   18.56,    7.52,    5.58,    6.80,    8.11,    9.23,   10.85,   10.04,   14.12,   15.10,   23.06
196702,    0.67,    0.66,    1.81,    1.82,    4.40,    1.36,   -0.68,   -0.29,    1.67,    2.05,    1.49,    2.31,    1.26,    2.73,    5.99
196703,    3.82,    4.58,    4.85,    6.85,    4.96,    3.28,    4.68,    5.28,    3.82,    4.40,    5.57,    6.05,    8.30,    3.54,    6.50
196704,    3.98,    3.41,    5.79,    4.97,    5.16,    3.47,    4.98,    2.57,    4.35,    4.17,    7.88,    5.73,    4.03,    6.54,    3.84
196705,   -4.40,   -3.83,   -3.97,   -2.58,   -2.26,   -3.97,   -5.26,   -3.69,   -4.00,   -4.21,   -3.72,   -3.61,   -1.40,   -1.68,   -2.83
196706,    1.47,    1.40,    3.78,    6.34,   10.68,    1.48,    1.44,    1.25,    1.64,    4.19,    3.32,    5.84,    7.00,    8.85,   12.18
196707,    3.59,    5.37,    5.69,    7.75,    8.25,    2.58,    6.13,    6.88,    4.10,    5.25,    6.27,    8.03,    7.38,    7.20,    9.44
196708,   -0.74,   -0.34,    0.14,   -0.87,   -1.62,   -1.01,   -0.46,    0.98,   -1.63,    0.70,   -0.70,   -0.32,   -1.68,   -1.29,   -1.96
196709,    3.45,    2.74,    3.33,    3.26,    5.32,    4.49,    2.58,    2.63,    2.89,    3.81,    2.92,    2.35,    4.61,    4.28,    6.29
196710,   -1.60,   -4.87,   -5.11,   -0.53,   -2.29,    0.29,   -3.46,   -5.36,   -4.37,   -5.22,   -4.97,   -0.68,   -0.32,   -1.64,   -2.90
196711,    0.88,   -0.34,    0.66,    1.92,    0.92,    0.60,    1.51,   -0.93,    0.29,    0.92,    0.40,    2.06,    1.70,    1.58,    0.31
196712,    2.65,    2.60,    2.03,    5.59,    9.36,    2.14,    3.99,    1.47,    3.97,    2.31,    1.72,    4.72,    6.95,    6.41,   12.60
196801,   -2.20,   -5.29,   -4.88,   -5.76,   -4.08,   -1.86,   -3.13,   -5.34,   -5.22,   -2.81,   -6.66,   -5.39,   -6.27,   -6.24,   -2.37
196802,   -1.85,   -3.78,   -3.70,   -5.51,   -9.16,   -1.62,   -2.33,   -2.86,   -5.03,   -3.96,   -3.39,   -6.33,   -4.25,   -8.05,  -10.03
196803,    0.62,   -0.09,    1.00,    2.34,   -0.48,    1.13,   -0.54,   -0.67,    0.64,    1.58,    0.23,    1.83,    2.95,    1.73,   -2.27
196804,    7.25,    9.93,   10.39,   13.47,   17.09,    6.83,    8.62,   10.11,    9.70,   10.02,   10.84,   13.67,   13.28,   17.28,   16.91
196805,    0.95,    3.07,    3.88,    4.89,    8.78,    0.90,    1.09,    3.33,    2.64,    4.15,    3.65,    4.85,    4.95,    8.03,    9.51
196806,    1.76,    1.18,    1.03,   -0.09,   -1.60,    1.43,    2.57,    0.82,    1.69,    0.97,    1.10,   -0.36,    0.36,   -0.97,   -2.13
196807,   -1.00,   -2.66,   -3.09,   -6.43,   -4.60,   -0.61,   -1.79,   -3.08,   -2.14,   -2.68,   -3.44,   -6.78,   -6.06,   -5.47,   -3.92
196808,    1.19,    2.09,    3.11,    1.96,    3.06,    1.41,    0.94,    1.95,    2.28,    3.98,    2.18,    2.28,    1.60,    2.64,    3.31
196809,    2.86,    4.51,    5.25,    7.13,    9.68,    3.31,    2.30,    5.01,    3.79,    5.22,    5.27,    6.94,    7.32,    8.12,   10.85
196810,    1.10,    1.52,    1.88,    0.07,   -2.33,    1.28,    0.76,    0.92,    2.28,    2.79,    0.70,    0.06,    0.09,   -2.00,   -2.57
196811,    4.37,    6.53,    7.41,    8.16,    9.33,    4.32,    4.46,    7.01,    5.94,    7.26,    7.56,    7.88,    8.48,    9.42,    9.26
196812,   -4.55,   -2.87,   -3.16,   -2.47,   -0.86,   -4.65,   -4.31,   -2.59,   -3.24,   -3.32,   -2.94,   -2.76,   -2.19,   -2.38,    0.45
196901,   -0.77,    0.15,   -0.68,   -1.71,   -2.42,   -1.02,   -0.02,    0.27,    0.01,    0.29,   -1.63,   -1.11,   -2.32,   -3.40,   -1.55
196902,   -2.99,   -5.82,   -7.19,   -8.17,  -10.81,   -2.32,   -4.87,   -5.80,   -5.85,   -6.60,   -7.89,   -6.91,   -9.56,  -10.74,  -10.89
196903,    3.44,    3.33,    3.05,    2.12,    1.90,    3.38,    3.56,    3.40,    3.24,    3.03,    3.07,    1.28,    3.05,    2.53,    1.30
196904,    2.51,    1.65,    1.06,    1.81,    1.67,    2.76,    1.95,    1.43,    1.93,    0.75,    1.44,    1.33,    2.34,    1.96,    1.39
196905,    0.73,    0.38,   -0.72,    0.24,   -0.12,    0.49,    1.31,    0.72,    0.03,   -0.62,   -0.81,    1.69,   -2.39,    0.27,   -0.52
196906,   -3.69,   -6.81,   -8.99,  -10.46,  -14.50,   -3.21,   -4.76,   -6.94,   -6.68,   -8.07,  -10.08,   -9.86,  -11.40,  -12.60,  -16.09
196907,   -4.98,   -6.74,   -7.38,   -8.44,  -11.40,   -5.29,   -4.07,   -6.24,   -7.17,   -7.06,   -7.80,   -7.08,  -10.42,  -10.95,  -11.77
196908,    3.77,    5.12,    7.05,    7.31,    8.01,    3.69,    4.02,    5.66,    4.60,    7.15,    6.91,    6.58,    8.15,    7.67,    8.32
196909,   -2.51,   -1.11,   -3.70,   -3.04,   -2.47,   -2.60,   -2.17,   -1.48,   -0.49,   -3.58,   -3.83,   -4.51,   -0.54,   -1.97,   -2.91
196910,    4.93,    4.95,    5.65,    8.80,    7.70,    3.75,    7.33,    6.15,    3.85,    4.37,    7.77,    9.41,    8.16,    7.61,    7.79
196911,   -2.76,   -3.22,   -3.34,   -4.42,   -6.11,   -2.56,   -3.29,   -3.36,   -3.06,   -2.65,   -4.20,   -3.73,   -5.02,   -4.78,   -7.37
196912,   -0.69,   -2.44,   -2.08,   -3.55,   -6.48,   -0.64,   -0.84,   -2.71,   -2.07,   -2.65,   -1.14,   -3.73,   -3.32,   -3.98,   -8.65
